Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
01-01-2015,1309.9,1322.3,1280.0,1307.65,1289.95,1286.6,1292.54,1416.9,658.35,29392,37990474.95,1435
02-01-2015,1291.7,1298.0,1267.0,1286.6,1273.95,1275.65,1282.17,1416.9,658.35,43560,55851262.55,2002
05-01-2015,1268.05,1284.0,1252.6,1275.65,1258.95,1258.7,1272.41,1416.9,658.35,31566,40165047.55,1952
06-01-2015,1250.0,1253.15,1215.6,1258.7,1240.0,1229.6,1235.26,1416.9,658.35,37724,46598799.6,3629
07-01-2015,1230.25,1240.85,1208.2,1229.6,1230.0,1228.55,1228.49,1416.9,658.35,73114,89820173.6,9571
08-01-2015,1230.0,1297.9,1229.95,1228.55,1285.0,1289.8,1269.38,1416.9,658.35,87268,110776414.85,5217
09-01-2015,1293.95,1299.4,1275.5,1289.8,1280.0,1279.2,1285.81,1416.9,658.35,32784,42154105.95,3255
12-01-2015,1255.0,1286.15,1255.0,1279.2,1274.5,1267.7,1268.98,1416.9,658.35,19678,24971047.45,2561
13-01-2015,1275.0,1308.0,1270.0,1267.7,1284.0,1286.45,1291.16,1416.9,658.35,58042,74941667.2,4493
14-01-2015,1280.0,1288.7,1238.2,1286.45,1238.2,1254.2,1273.86,1416.9,658.35,258705,329555194.95,14446
15-01-2015,1294.85,1298.0,1272.0,1254.2,1288.0,1289.05,1286.96,1416.9,658.35,136827,176091279.85,12741
16-01-2015,1298.0,1303.0,1255.0,1289.05,1275.0,1267.65,1287.55,1416.9,658.35,81048,104353108.2,7452
19-01-2015,1272.9,1286.2,1251.0,1267.65,1260.0,1257.95,1271.14,1416.9,658.35,32530,41350138.9,3265
20-01-2015,1260.0,1345.0,1260.0,1257.95,1314.0,1321.95,1309.2,1416.9,658.35,136014,178069552.2,8578
21-01-2015,1324.4,1336.4,1289.0,1321.95,1290.0,1292.65,1304.98,1416.9,658.35,100496,131145668.05,5662
22-01-2015,1288.5,1318.0,1280.6,1292.65,1299.0,1298.2,1299.95,1416.9,658.35,37831,49178288.15,3429
23-01-2015,1302.4,1329.0,1295.8,1298.2,1322.0,1312.2,1312.18,1416.9,658.35,25502,33463279.5,2648
27-01-2015,1317.0,1397.0,1308.0,1312.2,1396.0,1375.4,1358.38,1416.9,658.35,105522,143338824.65,7299
28-01-2015,1380.7,1499.0,1380.05,1375.4,1450.0,1450.4,1450.19,1499.0,658.35,274486,398057423.15,14537
29-01-2015,1453.3,1470.05,1425.0,1450.4,1463.0,1460.25,1455.62,1499.0,658.35,105965,154245115.35,4699
30-01-2015,1458.0,1479.95,1398.0,1460.25,1450.0,1447.55,1455.55,1499.0,658.35,72613,105691736.65,8357
02-02-2015,1443.0,1522.6,1428.9,1447.55,1509.0,1509.3,1469.88,1522.6,658.35,271402,398928511.05,5882
03-02-2015,1509.0,1531.7,1455.5,1509.3,1478.0,1468.45,1487.39,1531.7,658.35,66736,99262213.35,4639
04-02-2015,1473.0,1510.0,1452.5,1468.45,1490.0,1471.35,1486.94,1531.7,658.35,50162,74587925.45,4376
05-02-2015,1472.1,1508.9,1460.3,1471.35,1473.0,1476.2,1483.45,1531.7,658.35,21629,32085596.8,2502
06-02-2015,1477.0,1508.7,1462.5,1476.2,1465.1,1469.0,1479.65,1531.7,658.35,30818,45599828.65,3416
