Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
01-01-2015,137.0,138.15,136.0,137.4,137.15,137.4,137.18,242.95,100.1,3057025,419360971.1,16533
02-01-2015,138.4,140.75,137.1,137.4,139.2,139.2,139.31,242.95,100.1,4759090,662983759.45,26873
05-01-2015,136.8,137.5,134.8,139.2,135.45,135.8,136.02,242.95,100.1,5929537,806520652.1,34525
06-01-2015,134.0,135.5,132.25,135.8,134.1,133.65,133.84,242.95,100.1,6414971,858567739.7,34897
07-01-2015,133.45,137.5,131.6,133.65,135.2,134.6,134.02,242.95,100.1,7368573,987512133.5,35426
08-01-2015,136.8,143.65,135.3,134.6,142.25,142.75,140.11,242.95,100.1,9062204,1269715538.65,47875
09-01-2015,143.5,144.25,133.0,142.75,137.6,137.85,139.2,242.95,100.1,8109551,1128882873.0,43389
12-01-2015,137.6,138.45,135.5,137.85,136.55,136.5,136.85,242.95,100.1,5247669,718150062.45,29656
13-01-2015,137.1,137.45,132.3,136.5,133.0,133.25,133.72,242.95,100.1,7351163,983025086.55,47910
14-01-2015,132.65,134.95,132.4,133.25,133.95,133.35,133.55,242.95,100.1,5751188,768051429.65,33696
15-01-2015,137.9,149.5,136.55,133.35,145.6,147.8,144.74,242.95,100.1,17725500,2565648916.05,99587
16-01-2015,146.6,151.35,143.05,147.8,145.75,146.25,147.05,242.95,100.1,13096543,1925909473.9,75548
19-01-2015,146.9,148.6,143.2,146.25,145.1,145.35,145.75,242.95,100.1,5451338,794553795.9,29808
20-01-2015,146.2,147.9,143.2,145.35,145.15,145.65,145.67,242.95,100.1,4747097,691495569.9,28912
21-01-2015,146.0,146.9,141.85,145.65,143.0,143.7,143.81,242.95,100.1,4821636,693400627.95,33942
22-01-2015,144.4,149.8,143.2,143.7,148.7,148.6,147.25,242.95,100.1,9019250,1328100014.65,52322
23-01-2015,150.9,157.9,148.85,148.6,157.0,156.7,153.63,242.95,100.1,14722411,2261751899.05,77408
27-01-2015,157.6,159.2,153.8,156.7,157.5,157.9,156.5,242.95,100.1,8855525,1385878536.3,59266
28-01-2015,155.65,164.1,154.2,157.9,162.4,163.05,159.94,242.95,100.1,11878411,1899785176.25,64395
29-01-2015,161.2,168.75,161.2,163.05,166.0,166.65,166.25,242.95,100.1,12112048,2013667452.95,77501
30-01-2015,168.4,175.0,165.85,166.65,171.05,169.9,171.08,242.95,100.1,11569727,1979356227.5,63203
02-02-2015,171.0,174.35,168.1,169.9,172.75,172.95,172.27,242.95,100.1,7545950,1299914164.1,51564
03-02-2015,173.55,174.4,166.9,172.95,168.85,170.1,170.87,242.95,100.1,7479301,1277955230.85,41792
04-02-2015,170.7,179.2,165.2,170.1,170.7,173.35,173.73,242.95,100.1,12756976,2216317700.5,81084
05-02-2015,172.45,174.35,168.2,173.35,169.0,169.4,170.81,242.95,100.1,6889506,1176805070.4,43233
06-02-2015,168.5,171.75,160.0,169.4,160.5,163.45,166.22,242.95,100.1,10514349,1747731039.25,63362
09-02-2015,156.05,163.3,154.25,163.45,156.2,157.1,157.53,242.95,100.1,8809558,1387777487.95,56550
10-02-2015,151.2,161.15,148.0,157.1,160.55,157.55,153.78,242.95,100.1,12490607,1920794375.15,65737
11-02-2015,157.2,160.75,156.15,157.55,159.0,158.4,158.28,242.95,100.1,7961425,1260112708.3,58832
12-02-2015,159.3,160.95,155.6,158.4,159.0,158.75,158.39,242.95,100.1,5932767,939662546.9,39481
13-02-2015,159.6,164.45,153.6,158.75,155.25,155.2,160.09,242.95,100.1,7459362,1194187869.95,40461
16-02-2015,156.85,158.1,154.4,155.2,155.45,155.5,156.26,242.95,100.1,7631900,1192523328.25,44400
18-02-2015,157.0,157.35,148.25,155.5,149.3,149.95,152.91,242.95,100.1,7260335,1110145654.5,43595
19-02-2015,151.9,152.7,146.6,149.95,149.7,150.25,150.07,242.95,100.1,8145217,1222322667.95,41388
20-02-2015,151.15,154.4,150.3,150.25,150.6,151.35,152.18,242.95,100.1,6299259,958608364.25,35591
23-02-2015,151.95,152.05,145.2,151.35,146.4,146.55,147.95,242.95,100.1,6255008,925435885.35,37230
24-02-2015,148.15,148.45,145.05,146.55,146.3,146.65,146.6,242.95,100.1,5363297,786259525.9,31362
25-02-2015,147.1,150.9,146.55,146.65,146.9,147.45,148.55,242.95,100.1,6740635,1001319362.35,35942
26-02-2015,147.45,151.65,146.65,147.45,150.5,150.5,149.26,242.95,100.1,6970504,1040387142.85,35303
27-02-2015,148.25,157.15,147.05,150.5,156.4,155.95,152.74,242.95,100.1,12535891,1914705769.1,79335
28-02-2015,157.95,163.5,152.5,155.95,154.7,155.4,157.42,242.95,100.1,12991658,2045160134.4,69154
02-03-2015,156.95,160.2,153.4,155.4,154.1,154.55,156.27,242.95,100.1,6623433,1035071364.7,33276
03-03-2015,155.8,156.9,150.3,154.55,151.5,151.3,152.65,242.95,100.1,5781561,882566044.2,33576
