Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
01-01-2015,312.45,315.0,310.7,311.85,314.0,314.0,313.67,2979.0,287.0,6138488,1925488863.7,58688
02-01-2015,314.35,318.3,314.35,314.0,315.6,315.25,316.8,2979.0,287.0,9935094,3147388629.9,79553
05-01-2015,316.25,316.8,312.1,315.25,312.8,312.75,313.84,2979.0,287.0,9136716,2867431675.0,88236
06-01-2015,310.0,311.1,298.7,312.75,299.9,299.9,305.14,2979.0,287.0,15329257,4677601297.25,169268
07-01-2015,300.0,302.55,295.15,299.9,301.4,300.15,299.95,2979.0,287.0,15046745,4513243033.75,147185
08-01-2015,305.0,306.5,302.35,300.15,305.25,304.85,304.55,2979.0,287.0,8939749,2722592692.9,85776
09-01-2015,306.7,307.85,302.0,304.85,303.0,303.2,304.45,2979.0,287.0,11953948,3639361372.55,86383
12-01-2015,304.15,307.8,301.1,303.2,306.9,307.1,305.86,2979.0,287.0,8536142,2610906354.6,71620
13-01-2015,308.15,310.75,304.15,307.1,305.25,305.1,308.22,2979.0,287.0,9484804,2923405586.3,94825
14-01-2015,304.0,307.0,302.25,305.1,305.0,304.7,304.8,2979.0,287.0,8855660,2699164963.35,105452
15-01-2015,319.9,323.7,314.0,304.7,318.4,320.3,318.25,2979.0,287.0,30729523,9779600928.0,218045
16-01-2015,320.0,320.3,313.1,320.3,315.25,315.45,315.4,2979.0,287.0,21598514,6812224901.85,162231
19-01-2015,316.55,317.95,312.5,315.45,313.2,313.15,314.35,2979.0,287.0,9975658,3135878353.25,77913
20-01-2015,314.0,319.8,314.0,313.15,318.0,318.15,317.62,2979.0,287.0,13104643,4162310597.5,102056
21-01-2015,319.9,327.6,319.0,318.15,326.0,326.2,325.29,2979.0,287.0,22617660,7357244534.45,218767
22-01-2015,326.9,327.6,321.8,326.2,325.2,324.65,324.02,2979.0,287.0,12232626,3963650842.9,134697
23-01-2015,328.25,332.55,324.65,324.65,327.05,327.45,328.67,2979.0,287.0,17127278,5629290865.05,151074
27-01-2015,329.4,332.15,322.6,327.45,331.45,330.05,326.41,2979.0,287.0,13734088,4482899863.0,158444
28-01-2015,330.4,336.0,328.2,330.05,333.4,334.6,333.04,2979.0,287.0,19428852,6470529386.2,169823
29-01-2015,332.8,333.6,325.1,334.6,326.45,327.0,328.72,2979.0,287.0,14911660,4901824640.05,139604
30-01-2015,328.7,330.5,307.0,327.0,309.3,308.95,313.26,2979.0,287.0,30252827,9477149827.95,283121
02-02-2015,309.5,311.9,305.1,308.95,308.5,307.5,308.38,2979.0,287.0,17639807,5439786964.1,146146
03-02-2015,312.0,312.0,299.05,307.5,299.65,300.3,303.85,2979.0,287.0,23743882,7214558038.25,227509
04-02-2015,302.7,302.95,291.9,300.3,292.55,293.05,295.75,2979.0,287.0,21477507,6351980048.25,233412
05-02-2015,293.15,297.8,289.2,293.05,290.5,290.8,294.15,2979.0,287.0,15722348,4624755214.75,156258
06-02-2015,291.0,294.85,285.7,290.8,291.2,290.3,290.7,2979.0,285.7,15985714,4647120416.05,162287
09-02-2015,289.5,292.8,278.0,290.3,279.5,279.5,284.58,2979.0,278.0,17088719,4863094021.1,199946
10-02-2015,277.5,290.8,275.7,279.5,289.75,287.3,285.88,2979.0,275.7,22589681,6457862602.4,200547
11-02-2015,290.8,293.5,283.7,287.3,286.2,285.95,288.06,2979.0,275.7,17366588,5002676541.55,157109
12-02-2015,288.9,289.0,278.3,285.95,286.1,284.3,283.04,2979.0,275.7,20957180,5931745684.45,204691
13-02-2015,288.0,307.95,285.35,284.3,307.7,306.95,299.2,2979.0,275.7,70540056,21105343678.85,489932
16-02-2015,310.6,313.15,304.7,306.95,306.5,306.7,309.43,2979.0,275.7,21372131,6613269715.95,191827
18-02-2015,306.8,307.9,302.0,306.7,305.65,305.7,305.59,2979.0,275.7,13472484,4117092113.55,132293
19-02-2015,306.1,307.3,296.8,305.7,300.5,302.35,301.83,2979.0,275.7,17762135,5361130566.9,161674
20-02-2015,301.9,306.5,297.05,302.35,302.2,302.3,303.14,2979.0,275.7,15792502,4787375264.8,139509
23-02-2015,303.2,304.6,294.4,302.3,295.0,296.55,299.93,2979.0,275.7,12440505,3731311982.35,124068
24-02-2015,296.9,299.0,292.1,296.55,296.3,296.25,295.76,2979.0,275.7,15046698,4450175225.55,160554
25-02-2015,299.0,300.65,295.0,296.25,295.45,295.55,298.07,2979.0,275.7,12845169,3828728292.9,140342
26-02-2015,297.0,297.0,288.05,295.55,289.4,289.4,291.33,2979.0,275.7,18707345,5450096653.0,208496
27-02-2015,291.25,301.0,290.1,289.4,300.25,299.9,297.15,2979.0,275.7,18316053,5442581875.55,183942
28-02-2015,304.95,306.4,295.1,299.9,302.0,301.65,301.95,2979.0,275.7,25014393,7553074019.1,190989
02-03-2015,305.9,305.9,296.7,301.65,301.6,302.0,300.97,2979.0,275.7,15085595,4540367706.5,146727
03-03-2015,303.5,305.4,299.7,302.0,302.8,302.6,302.13,2979.0,275.7,14387971,4347078580.5,120759
04-03-2015,314.0,315.0,292.0,302.6,292.75,293.85,303.18,2979.0,275.7,38674148,11725294422.5,279976
05-03-2015,294.75,296.25,289.75,293.85,293.6,293.8,292.95,2979.0,275.7,16803823,4922644375.25,160590
