Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
01-01-2015,494.5,499.45,492.25,495.55,498.55,498.45,496.76,550.7,332.1,934528,464233503.4,12769
02-01-2015,497.25,517.4,497.25,498.45,513.5,511.8,510.18,550.7,332.1,4148596,2116514668.95,60297
05-01-2015,510.1,526.0,506.7,511.8,524.1,523.8,518.6,550.7,332.1,6686952,3467849662.0,89227
06-01-2015,514.35,514.35,499.25,523.8,502.0,501.4,504.78,550.7,332.1,7894918,3985170190.7,160548
07-01-2015,495.0,500.4,489.2,501.4,493.7,493.85,494.52,550.7,332.1,9134678,4517269079.1,166649
08-01-2015,504.0,514.8,501.0,493.85,510.0,512.0,507.92,550.7,332.1,5476843,2781791592.45,118182
09-01-2015,521.25,524.95,515.5,512.0,521.0,522.3,520.89,550.7,332.1,4010545,2089058222.8,65449
12-01-2015,518.5,524.7,511.25,522.3,520.95,522.3,518.46,550.7,332.1,2533395,1313463755.8,46938
13-01-2015,520.35,525.7,515.25,522.3,518.85,519.45,520.21,550.7,332.1,4282874,2227996719.25,108600
14-01-2015,521.5,526.65,513.95,519.45,520.2,520.35,519.72,550.7,332.1,6006186,3121545709.9,150795
15-01-2015,528.3,536.0,523.75,520.35,529.05,532.95,530.82,550.7,332.1,6829305,3625152251.8,103995
16-01-2015,531.1,535.8,522.4,532.95,525.5,525.75,526.46,550.7,332.1,4205034,2213792796.35,116101
19-01-2015,526.5,539.6,523.15,525.75,536.95,538.5,533.54,550.7,332.1,4568341,2437370243.7,80811
20-01-2015,538.75,561.0,534.75,538.5,559.95,559.2,548.76,561.0,332.1,6075180,3333843231.05,113370
21-01-2015,556.85,558.45,546.0,559.2,550.45,551.5,551.8,561.0,332.1,6452158,3560310824.35,96859
22-01-2015,550.65,568.7,548.55,551.5,566.1,566.5,562.29,568.7,332.1,5946787,3343822905.55,107930
23-01-2015,575.0,591.15,574.0,566.5,586.1,588.45,582.5,591.15,332.1,7682336,4474984692.15,92066
27-01-2015,596.05,607.7,596.05,588.45,606.0,604.55,601.15,607.7,332.1,7136967,4290411449.75,196320
28-01-2015,599.0,599.2,587.0,604.55,588.05,589.2,592.08,607.7,332.1,8209728,4860791955.9,104919
29-01-2015,586.0,600.7,580.6,589.2,597.0,598.6,594.14,607.7,332.1,5812166,3453248019.85,85051
30-01-2015,601.4,604.7,581.1,598.6,586.4,585.15,588.21,607.7,332.1,4136616,2433180217.4,86101
02-02-2015,587.8,595.9,580.85,585.15,592.25,592.5,587.98,607.7,332.1,4316925,2538270511.05,88096
03-02-2015,597.65,612.4,596.2,592.5,598.15,603.3,604.73,612.4,332.1,6035606,3649924353.5,96822
04-02-2015,606.65,606.65,588.2,603.3,592.0,591.4,594.17,612.4,332.1,3362648,1998001258.25,47277
05-02-2015,591.0,602.9,582.0,591.4,587.6,589.2,593.51,612.4,332.1,6774777,4020908756.15,89368
06-02-2015,567.05,572.0,552.2,589.2,559.95,559.6,559.06,612.4,332.1,12091509,6759853519.45,138040
